,times
1024,0.039226699
2048,0.021343374
3072,0.015438676
4096,0.012415957
5120,0.010807633
6144,0.009292674
7168,0.008419514
8192,0.007835174
9216,0.007252598
10240,0.006902766
11264,0.006544542
12288,0.006248713
13312,0.006068134
14336,0.005837989
15360,0.005686712
16384,0.005489254
17408,0.005416894
18432,0.005216432
19456,0.005035639
20480,0.004962134
21504,0.004874635
22528,0.004813075
23552,0.004705405
24576,0.004631972
25600,0.00453999
26624,0.004488301
27648,0.004402328
28672,0.004388738
29696,0.004297066
30720,0.004328728
31744,0.004207397
32768,0.004147482
33792,0.005449057
34816,0.005474353
35840,0.005288744
36864,0.005312681
37888,0.005177879
38912,0.005133915
39936,0.005164123
40960,0.005008912
41984,0.004976106
43008,0.004974127
44032,0.004808831
45056,0.004804444
46080,0.004827547
47104,0.004816198
48128,0.004639196
49152,0.004636002
50176,0.004642725
51200,0.004634762
52224,0.004653287
53248,0.004474068
54272,0.004490113
55296,0.004482913
56320,0.004495263
57344,0.004470038
58368,0.004325318
59392,0.004326057
60416,0.004367733
61440,0.004339123
62464,0.004329443
63488,0.00430305
64512,0.004335451
65536,0.004166722
66560,0.004805422
67584,0.004889083
68608,0.0048985
69632,0.004836583
70656,0.004902744
71680,0.004897571
72704,0.004902601
73728,0.004844594
74752,0.004847455
75776,0.004712343
76800,0.00462873
77824,0.004634571
78848,0.004641008
79872,0.004671574
80896,0.004653215
81920,0.004529667
82944,0.004620862
83968,0.004526138
84992,0.004621482
86016,0.005066943
87040,0.004968667
88064,0.00445168
89088,0.004425669
90112,0.005180383
91136,0.005239677
92160,0.004957891
93184,0.004425192
94208,0.004465294
95232,0.004509211
96256,0.005071855
97280,0.004977918
98304,0.004243135
99328,0.004845357
100352,0.004874992
101376,0.004994321
102400,0.004927969
103424,0.004862499
104448,0.00477829
105472,0.004841542
106496,0.004628587
107520,0.004637551
108544,0.004706335
109568,0.004620337
110592,0.004655123
111616,0.004667592
112640,0.004606533
113664,0.004643464
114688,0.004520988
115712,0.004560471
116736,0.004518747
117760,0.004570103
118784,0.004575729
119808,0.004599166
120832,0.004534483
121856,0.004588962
122880,0.004508829
123904,0.004423904
124928,0.004411626
125952,0.004437375
126976,0.004441547
128000,0.004451537
129024,0.004422784
130048,0.00448103
131072,0.004404783
132096,0.005010724
133120,0.004683042
134144,0.004676628
135168,0.004701853
136192,0.004716301
137216,0.004709935
138240,0.004716873
139264,0.004682827
140288,0.004731345
141312,0.004697895
142336,0.004617405
143360,0.004972744
144384,0.004710674
145408,0.004664254
146432,0.004579067
147456,0.004606676
148480,0.004602242
149504,0.00460062
150528,0.004605174
151552,0.004586935
152576,0.004615641
153600,0.004488587
154624,0.004493594
155648,0.004478049
156672,0.004499841
157696,0.00448246
158720,0.004483199
159744,0.004494667
160768,0.004489899
161792,0.004512262
162816,0.004490852
163840,0.004415131
164864,0.004860449
165888,0.004840565
166912,0.004836559
167936,0.00483191
168960,0.00481348
169984,0.00481739
171008,0.004826403
172032,0.004817986
173056,0.004814911
174080,0.004827023
175104,0.004705262
176128,0.004702806
177152,0.004682493
178176,0.004677987
179200,0.004690504
180224,0.004678822
181248,0.004681706
182272,0.004689169
183296,0.004674935
184320,0.004813623
185344,0.004756021
186368,0.004681015
187392,0.004852939
188416,0.005627704
189440,0.005637908
190464,0.004912972
191488,0.005382848
192512,0.005153656
193536,0.005191469
194560,0.004950762
195584,0.005307031
196608,0.004953671
197632,0.0053859
198656,0.005507612
199680,0.005784321
200704,0.005869317
201728,0.005853558
202752,0.005360436
203776,0.005293751
204800,0.005162907
205824,0.005099607
206848,0.005283451
207872,0.005204082
208896,0.005244827
209920,0.005299664
210944,0.005144262
211968,0.005119991
212992,0.005138826
214016,0.004781246
215040,0.004762793
216064,0.004756474
217088,0.004679751
218112,0.004771733
219136,0.004783535
220160,0.004746866
221184,0.004745436
222208,0.004751706
223232,0.004764509
224256,0.004788685
225280,0.004768896
226304,0.004902053
227328,0.0048666
228352,0.004778051
229376,0.004749346
230400,0.00504806
231424,0.00527482
232448,0.005177402
233472,0.006086349
234496,0.005787635
235520,0.005723619
236544,0.005652738
237568,0.0059268
238592,0.004953361
239616,0.00494771
240640,0.004972553
241664,0.005004954
242688,0.005058122
243712,0.005292296
244736,0.004990172
245760,0.004884267
246784,0.004834914
247808,0.004836679
248832,0.004892755
249856,0.005017853
250880,0.004985428
251904,0.004946041
252928,0.004909039
253952,0.004816127
254976,0.004799056
256000,0.004819846
257024,0.00491581
258048,0.004933643
259072,0.00491519
260096,0.005131269
261120,0.004883385
262144,0.005033541
263168,0.005361199
264192,0.005066657
265216,0.005079222
266240,0.005016208
267264,0.005613208
268288,0.005453849
269312,0.004971218
270336,0.005294251
271360,0.005010271
272384,0.005124974
273408,0.005049658
274432,0.004995012
275456,0.005020332
276480,0.005063653
277504,0.005020761
278528,0.005238581
279552,0.005026865
280576,0.004939961
281600,0.004902601
282624,0.004983401
