,times
1024,0.151714563
2048,0.080581903
3072,0.05677886
4096,0.044855738
5120,0.037799168
6144,0.033026266
7168,0.029647994
8192,0.027127242
9216,0.025083017
10240,0.023538494
11264,0.022176933
12288,0.021014476
13312,0.020070386
14336,0.019452143
15360,0.018692517
16384,0.018059516
17408,0.017576146
18432,0.017027235
19456,0.016714907
20480,0.016349769
21504,0.015931606
22528,0.015721083
23552,0.015350699
24576,0.015090585
25600,0.014857125
26624,0.014676666
27648,0.014417171
28672,0.0142802
29696,0.014130306
30720,0.013977027
31744,0.01386044
32768,0.013561344
33792,0.018818569
34816,0.018506718
35840,0.018127418
36864,0.017820525
37888,0.017455792
38912,0.017147613
39936,0.01714344
40960,0.016816306
41984,0.016474891
43008,0.01651268
44032,0.016150808
45056,0.016148949
46080,0.015829706
47104,0.01582222
48128,0.015521669
49152,0.01548295
50176,0.015168786
51200,0.015191102
52224,0.015179062
53248,0.014843965
54272,0.01483264
55296,0.014557362
56320,0.014513731
57344,0.014541364
58368,0.014314365
59392,0.014175296
60416,0.014202094
61440,0.014194918
62464,0.013887644
63488,0.0138695
64512,0.013943124
65536,0.013540936
66560,0.016104746
67584,0.016175771
68608,0.015965056
69632,0.015960169
70656,0.015721917
71680,0.015630412
72704,0.015477157
73728,0.015520906
74752,0.015471911
75776,0.015155602
76800,0.015194321
77824,0.015127635
78848,0.014973021
79872,0.015026045
80896,0.01482141
81920,0.014652085
82944,0.014713669
83968,0.014654851
84992,0.014499259
86016,0.014552903
87040,0.014494896
88064,0.014330244
89088,0.014343023
90112,0.014169168
91136,0.014155841
92160,0.014152837
93184,0.01405015
94208,0.013993979
95232,0.014015532
96256,0.013859487
97280,0.013817573
98304,0.013669968
99328,0.015549397
100352,0.015451479
101376,0.015462518
102400,0.01532948
103424,0.01528616
104448,0.015300918
105472,0.015152478
106496,0.014970875
107520,0.014974856
108544,0.014993119
109568,0.01481061
110592,0.014793253
111616,0.014806485
112640,0.014790964
113664,0.014646316
114688,0.014630103
115712,0.01462431
116736,0.014455557
117760,0.014458895
118784,0.014394403
119808,0.014320922
120832,0.014313221
121856,0.014381027
122880,0.014142179
123904,0.014163876
124928,0.014278626
125952,0.014136147
126976,0.013993216
128000,0.014024878
129024,0.013954735
130048,0.013977528
131072,0.013803458
132096,0.01515379
133120,0.015140057
134144,0.015168738
135168,0.015164185
136192,0.014993525
137216,0.014995027
138240,0.015070081
139264,0.014987755
140288,0.015001822
141312,0.014920259
142336,0.014833474
143360,0.014845037
144384,0.014934254
145408,0.01467557
146432,0.014639854
147456,0.014743543
148480,0.014677525
149504,0.014644623
150528,0.014584231
151552,0.014504647
152576,0.014524126
153600,0.014361572
154624,0.014339519
155648,0.014335155
156672,0.014364028
157696,0.01434443
158720,0.014182544
159744,0.014187431
160768,0.01417973
161792,0.01416223
162816,0.01417532
163840,0.014068627
164864,0.015165877
165888,0.015153551
166912,0.015189433
167936,0.015171266
168960,0.015134382
169984,0.015284038
171008,0.015140367
172032,0.015155077
173056,0.015241909
174080,0.015148616
175104,0.014832234
176128,0.014917064
177152,0.014860845
178176,0.014846826
179200,0.014872408
180224,0.014842844
181248,0.014869452
182272,0.014869332
183296,0.014863801
184320,0.014525795
185344,0.014586759
186368,0.014497638
187392,0.014502358
188416,0.014506865
189440,0.01450479
190464,0.014511132
191488,0.014509296
192512,0.014565635
193536,0.014505506
194560,0.014503312
195584,0.014539814
196608,0.014150953
197632,0.015160894
198656,0.015275764
199680,0.015141845
200704,0.015183616
201728,0.015230632
202752,0.015158367
203776,0.015014958
204800,0.015045643
205824,0.015011334
206848,0.015016437
207872,0.015129089
208896,0.015007758
209920,0.014868259
210944,0.014950562
211968,0.01486299
212992,0.014681911
214016,0.014771485
215040,0.014677978
216064,0.014681125
217088,0.014695597
218112,0.014663577
219136,0.014682388
220160,0.014701247
221184,0.014502811
222208,0.01450398
223232,0.014509892
224256,0.014604759
225280,0.0144979
226304,0.01451273
227328,0.014539218
228352,0.01450057
229376,0.014327765
230400,0.015194654
231424,0.015189838
232448,0.015179658
233472,0.015195799
234496,0.015186834
235520,0.015194178
236544,0.015297842
237568,0.015042138
238592,0.015048552
239616,0.015079236
240640,0.015037179
241664,0.015048337
242688,0.015172505
243712,0.015044188
244736,0.015032601
245760,0.014927864
246784,0.014888525
247808,0.014903402
248832,0.014947891
249856,0.014878249
250880,0.014903784
251904,0.014943981
252928,0.014878917
253952,0.014737248
254976,0.014798951
256000,0.014742017
257024,0.014733577
258048,0.014764452
259072,0.014728022
260096,0.014735079
261120,0.014730501
262144,0.014561772
263168,0.015158749
264192,0.015182209
265216,0.01519208
266240,0.015153337
267264,0.01515789
268288,0.015242171
269312,0.015147829
270336,0.015160275
271360,0.015220356
272384,0.015185666
273408,0.015008044
274432,0.015050149
275456,0.014999533
276480,0.015009403
277504,0.015127087
278528,0.014997554
279552,0.015007496
280576,0.015324283
281600,0.016750717
282624,0.019137812
283648,0.016006303
284672,0.019776917
285696,0.016411042
286720,0.014969778
287744,0.014957237
288768,0.015212202
289792,0.015025258
290816,0.01487112
291840,0.015136051
292864,0.014918685
293888,0.014881539
294912,0.014890885
295936,0.01576345
296960,0.015767074
297984,0.015880156
299008,0.015878463
300032,0.015851068
301056,0.016406703
302080,0.015739751
303104,0.015962124
304128,0.016130733
305152,0.015716791
306176,0.017756581
307200,0.015828919
308224,0.015493631
309248,0.015467095
310272,0.016021848
311296,0.015401959
312320,0.01561203
313344,0.015833521
314368,0.015583515
315392,0.016270471
316416,0.015761971
317440,0.015390372
318464,0.016364717
319488,0.016788363
320512,0.015368938
321536,0.015434051
322560,0.015365624
323584,0.015390682
324608,0.015502501
325632,0.015894508
326656,0.016770554
327680,0.015683055
328704,0.016872382
329728,0.015944934
330752,0.018124795
331776,0.015711355
332800,0.016043329
333824,0.018688226
334848,0.016580653
335872,0.01662004
336896,0.016414356
337920,0.015696597
338944,0.015556121
339968,0.015635037
340992,0.016781259
342016,0.015684938
343040,0.016126966
344064,0.015926528
345088,0.016174364
346112,0.015818405
347136,0.015716934
348160,0.015742922
349184,0.016319108
350208,0.01580224
351232,0.016187477
352256,0.015476394
353280,0.015400624
354304,0.015734291
355328,0.016614699
356352,0.015319872
357376,0.015317106
358400,0.015321136
359424,0.015334845
360448,0.015386128
361472,0.015970111
362496,0.015497041
363520,0.015503573
364544,0.015748096
365568,0.01558857
366592,0.015960717
367616,0.015584207
368640,0.015908647
369664,0.015883565
370688,0.015721917
371712,0.015755033
372736,0.015536237
373760,0.015793514
374784,0.015507221
375808,0.015788198
376832,0.015341353
377856,0.015353394
378880,0.0156883
379904,0.015517068
380928,0.015349483
381952,0.01533215
382976,0.015661502
384000,0.015521407
385024,0.015710187
386048,0.015536571
387072,0.015409756
388096,0.015308523
389120,0.015336871
390144,0.015501714
391168,0.015701079
392192,0.01560533
393216,0.015396214
394240,0.016967845
395264,0.016985559
396288,0.016819239
397312,0.017112613
398336,0.016770601
399360,0.016784358
400384,0.016764569
401408,0.016655016
402432,0.016695952
403456,0.017037868
404480,0.016856098
405504,0.016876245
406528,0.016654539
407552,0.017189693
408576,0.01725843
409600,0.017260075
410624,0.017254806
411648,0.017076755
412672,0.016845679
413696,0.016565466
414720,0.017431045
415744,0.016726351
416768,0.016538692
417792,0.016754103
418816,0.016547632
419840,0.016531467
420864,0.01654098
421888,0.016610193
422912,0.016564274
423936,0.016683722
424960,0.016580272
425984,0.016417837
427008,0.016505289
428032,0.016563582
429056,0.016425252
430080,0.016412997
431104,0.016558576
432128,0.017155218
433152,0.017652822
434176,0.017329741
435200,0.01675849
436224,0.017253113
437248,0.017744279
438272,0.016662884
439296,0.016764092
440320,0.018065286
441344,0.017135882
442368,0.016886854
443392,0.01685133
