,times
91136,0.015610695
91392,0.015558338
91648,0.015527296
91904,0.015744925
92160,0.015556765
92416,0.016574478
92672,0.016202927
92928,0.015585232
93184,0.015548182
93440,0.015659142
93696,0.015549183
93952,0.015579629
94208,0.015573406
94464,0.017415619
94720,0.016223884
94976,0.020458126
95232,0.01764791
95488,0.020086479
95744,0.01592474
96000,0.015523767
96256,0.015454078
96512,0.015959096
96768,0.016880488
97024,0.016474605
97280,0.015857148
97536,0.015715766
97792,0.01555512
98048,0.016399884
98304,0.01526556
98560,0.016981196
98816,0.01692009
99072,0.017370176
99328,0.016759634
99584,0.016807961
99840,0.017191291
100096,0.016673112
100352,0.016740966
100608,0.016984177
100864,0.017442656
101120,0.016828632
101376,0.016697264
101632,0.016997361
101888,0.018503785
102144,0.017329264
102400,0.016680527
102656,0.016766191
102912,0.016552401
103168,0.01665566
103424,0.016688871
103680,0.016666746
103936,0.016968727
104192,0.017742872
104448,0.016963887
104704,0.017002416
104960,0.017277074
105216,0.016658258
105472,0.01668191
105728,0.01719203
105984,0.018354154
106240,0.018198133
106496,0.023598242
106752,0.022808957
107008,0.021354079
107264,0.016916776
107520,0.016714001
107776,0.016740727
108032,0.016585708
108288,0.016512704
108544,0.016834235
108800,0.016469979
109056,0.016428494
109312,0.016739082
109568,0.016442347
109824,0.016475439
110080,0.016467428
110336,0.016532874
110592,0.01652379
110848,0.016448236
111104,0.016438627
111360,0.016542101
111616,0.016475725
111872,0.016476345
112128,0.016490364
112384,0.016489315
112640,0.016436386
112896,0.01660099
113152,0.016443992
113408,0.01651845
113664,0.016428471
113920,0.017010784
114176,0.017536759
114432,0.016864848
114688,0.016260052
114944,0.016791749
115200,0.016463041
115456,0.016780877
115712,0.016480756
115968,0.016498542
116224,0.016468167
116480,0.016428947
116736,0.016475201
116992,0.016517854
117248,0.016448045
117504,0.016477251
117760,0.017097497
118016,0.016732478
118272,0.018314004
118528,0.017618275
118784,0.016292787
119040,0.016926432
119296,0.016419005
119552,0.016591144
119808,0.01789434
120064,0.016480589
120320,0.016311169
120576,0.016832876
120832,0.016291165
121088,0.016481328
121344,0.016497111
121600,0.016902947
121856,0.016866517
122112,0.01627574
122368,0.017259359
122624,0.016865897
122880,0.016214776
123136,0.01663518
123392,0.017020178
123648,0.016676044
123904,0.016892624
124160,0.016621351
124416,0.01662488
124672,0.016821694
124928,0.016582227
125184,0.016695762
125440,0.01684587
125696,0.017109823
125952,0.016929126
126208,0.016603827
126464,0.016692638
126720,0.017619109
126976,0.017087436
127232,0.016490817
127488,0.01706593
127744,0.016552806
128000,0.016442537
128256,0.017830825
128512,0.016926312
128768,0.016791201
129024,0.016740704
129280,0.016511297
129536,0.016613865
129792,0.016566825
130048,0.016542315
130304,0.016488099
130560,0.016438532
130816,0.016495419
131072,0.016134882
131328,0.016599631
131584,0.016533661
131840,0.016652513
132096,0.016627574
132352,0.016526318
132608,0.01651814
132864,0.016787553
133120,0.017341113
133376,0.016773558
133632,0.017118049
133888,0.016801238
134144,0.019488955
134400,0.017194963
134656,0.016799188
134912,0.016822743
135168,0.016642857
135424,0.01685524
135680,0.016652226
135936,0.016634536
136192,0.016598678
136448,0.01659379
136704,0.016586614
136960,0.01661377
137216,0.016592717
137472,0.016648698
137728,0.018770885
137984,0.017066765
138240,0.016818261
138496,0.01724515
138752,0.0167238
139008,0.01689291
139264,0.016918969
139520,0.016639781
139776,0.01805048
140032,0.018418026
140288,0.016648436
140544,0.017400265
140800,0.017822218
141056,0.01800704
141312,0.016776657
141568,0.016905165
141824,0.016813588
142080,0.016636968
142336,0.016654921
142592,0.016687465
142848,0.019472575
143104,0.020001507
143360,0.016735864
143616,0.016847563
143872,0.01686511
144128,0.016648459
144384,0.016812897
144640,0.016874743
144896,0.01683979
145152,0.016753316
145408,0.016573477
145664,0.016566133
145920,0.016804838
146176,0.016560793
146432,0.017558813
146688,0.018370986
146944,0.017758608
147200,0.017238808
147456,0.016308475
147712,0.02040813
147968,0.021148086
148224,0.020063758
148480,0.019922638
148736,0.01972661
148992,0.020147514
149248,0.01993804
149504,0.020177865
149760,0.019867373
150016,0.019714928
150272,0.019707656
150528,0.019736767
150784,0.019713879
151040,0.019717765
151296,0.019716549
151552,0.019729924
151808,0.019705319
152064,0.019748545
152320,0.019707513
152576,0.019778728
152832,0.01970818
153088,0.019788957
153344,0.019719028
153600,0.019717932
153856,0.019745111
154112,0.019719148
154368,0.019814467
154624,0.019710588
154880,0.019747424
155136,0.019704795
155392,0.019705462
155648,0.01972537
155904,0.019676185
156160,0.019720221
156416,0.019656992
156672,0.019729543
156928,0.019653606
157184,0.019671082
157440,0.019670987
157696,0.019747853
157952,0.019881654
158208,0.019748592
158464,0.01995604
158720,0.019679832
158976,0.019727111
159232,0.019764495
159488,0.019677186
159744,0.020184493
160000,0.022540832
160256,0.020120907
160512,0.019870353
160768,0.0199898
161024,0.01966536
161280,0.019955015
161536,0.019989872
161792,0.023472023
162048,0.020042658
162304,0.02005794
162560,0.020419145
162816,0.019676995
163072,0.020622659
163328,0.019709134
163584,0.019701552
163840,0.020626712
164096,0.025593066
164352,0.020292664
164608,0.02007935
164864,0.020402694
165120,0.019881129
165376,0.020178723
165632,0.019813609
165888,0.019803667
166144,0.019870663
166400,0.019787025
166656,0.019897962
166912,0.019781661
167168,0.019880462
167424,0.01977725
167680,0.019787812
167936,0.019837356
168192,0.019792199
168448,0.019777441
168704,0.01983099
168960,0.019779301
169216,0.019791222
169472,0.02013464
169728,0.019811797
169984,0.019800138
170240,0.019813204
170496,0.01979332
170752,0.020121312
171008,0.019794464
171264,0.019851613
171520,0.019797921
171776,0.01979239
172032,0.019815493
172288,0.019771624
172544,0.019847441
172800,0.019789791
173056,0.019970798
173312,0.019761038
173568,0.020056891
173824,0.019770765
174080,0.019837117
174336,0.019957566
174592,0.020051289
174848,0.020194721
175104,0.019900036
175360,0.021784329
175616,0.020711899
175872,0.025144124
176128,0.024263382
176384,0.026648426
176640,0.023488426
176896,0.025556564
177152,0.026398778
177408,0.022901821
177664,0.023974419
177920,0.020118403
178176,0.020011306
178432,0.02016871
178688,0.020205235
178944,0.020276833
179200,0.019820762
179456,0.020189881
179712,0.020060182
179968,0.020764089
180224,0.020486212
180480,0.019745564
180736,0.020019436
180992,0.019906855
181248,0.019949317
181504,0.019834328
181760,0.019831514
182016,0.021433997
182272,0.020355868
182528,0.02011025
182784,0.020097399
183040,0.020149446
183296,0.021793652
183552,0.019982076
183808,0.019868398
184064,0.020012617
184320,0.019943619
184576,0.021221352
184832,0.020689607
185088,0.019777918
185344,0.020151138
185600,0.020105863
185856,0.019830918
186112,0.019870257
186368,0.019744468
186624,0.019756699
186880,0.019888115
187136,0.019933248
187392,0.019826412
187648,0.019806814
187904,0.019922829
188160,0.019912004
188416,0.019838381
188672,0.020168567
188928,0.020384574
189184,0.020691252
189440,0.020548201
189696,0.02275846
189952,0.020850396
190208,0.020363498
190464,0.019835782
190720,0.019885707
190976,0.019903541
191232,0.019884396
191488,0.021035814
191744,0.019725966
192000,0.020602536
192256,0.01996181
192512,0.019737148
192768,0.019868684
193024,0.019735456
193280,0.020015121
193536,0.019791889
193792,0.019714642
194048,0.019889188
194304,0.019716072
194560,0.019774103
194816,0.019714189
195072,0.020128393
195328,0.019739008
195584,0.01974113
