,times
4096,0.159636617
8192,0.087166262
12288,0.061158633
16384,0.045167518
20480,0.038014007
24576,0.03315022
28672,0.029746103
32768,0.027416039
36864,0.025216651
40960,0.023970556
45056,0.022337079
49152,0.021589398
53248,0.020487332
57344,0.019514465
61440,0.01879499
65536,0.018129516
69632,0.018280911
73728,0.01707406
77824,0.016744494
81920,0.016447592
86016,0.016175103
90112,0.017514253
94208,0.01911552
98304,0.017964935
102400,0.015526652
106496,0.015289855
110592,0.017510438
114688,0.014517641
118784,0.014353442
122880,0.014104843
126976,0.013996196
131072,0.013591528
135168,0.019464111
139264,0.018725467
143360,0.018694401
147456,0.018496418
151552,0.01749804
155648,0.017520761
159744,0.017219758
163840,0.016985917
167936,0.016664386
172032,0.016462374
176128,0.018122721
180224,0.017096972
184320,0.016934752
188416,0.016734314
192512,0.015561771
196608,0.01553905
200704,0.015661907
204800,0.015388131
208896,0.015172195
212992,0.014992523
217088,0.015301204
221184,0.014504147
225280,0.017679834
229376,0.014688587
233472,0.014551473
237568,0.014303946
241664,0.014398479
245760,0.014319038
249856,0.01430347
253952,0.015614247
258048,0.014535213
262144,0.013694453
266240,0.016351223
270336,0.01713264
274432,0.01658833
278528,0.0160182
282624,0.015668583
286720,0.015925646
290816,0.015533257
294912,0.015549803
299008,0.015581226
303104,0.01521368
307200,0.015171552
311296,0.015302467
315392,0.015001988
319488,0.01499579
323584,0.014840317
327680,0.014730954
331776,0.014718461
335872,0.01491878
339968,0.014505196
344064,0.014524555
348160,0.014687371
352256,0.014377403
356352,0.01439507
360448,0.014493346
364544,0.014292383
368640,0.014482927
372736,0.014462066
376832,0.014245749
380928,0.014019442
385024,0.014228582
389120,0.014471269
393216,0.016836691
397312,0.01642921
401408,0.015844631
405504,0.015481853
409600,0.015315509
413696,0.015724325
417792,0.015313601
421888,0.015170074
425984,0.015008044
430080,0.015205812
434176,0.015373611
438272,0.018044162
442368,0.017554545
446464,0.014836454
450560,0.014884424
454656,0.016805196
458752,0.017061377
462848,0.014857388
466944,0.014486957
471040,0.014507484
475136,0.014311838
479232,0.014330101
483328,0.01439662
487424,0.016716099
491520,0.015131593
495616,0.014479876
499712,0.014945865
503808,0.014205718
507904,0.014039302
512000,0.014228845
516096,0.01449554
520192,0.016823387
524288,0.014492631
528384,0.015361953
532480,0.015926027
536576,0.015353799
540672,0.015215397
544768,0.015010786
548864,0.015015697
552960,0.015014172
557056,0.015018535
561152,0.015027785
565248,0.014856911
569344,0.01484282
573440,0.014838409
577536,0.014904165
581632,0.014772391
585728,0.014819121
589824,0.014824533
593920,0.014732361
598016,0.014736676
602112,0.016561699
606208,0.01562171
610304,0.015580487
614400,0.014767671
618496,0.014332247
622592,0.015063691
626688,0.014464307
630784,0.014392257
634880,0.014170909
638976,0.01459856
643072,0.017443132
647168,0.014423203
651264,0.014736986
655360,0.014189792
659456,0.015919352
663552,0.015272427
667648,0.01525948
671744,0.017463708
675840,0.015807462
679936,0.015324283
684032,0.015303326
688128,0.015879011
692224,0.0152246
696320,0.015170574
700416,0.015221596
704512,0.014878011
708608,0.014889717
712704,0.014976859
716800,0.014887118
720896,0.014883184
724992,0.015015697
729088,0.014937043
733184,0.014930487
737280,0.014700603
741376,0.014525485
745472,0.014535642
749568,0.014573646
753664,0.014509988
757760,0.014571333
761856,0.014596248
765952,0.014591074
770048,0.014501476
774144,0.014576316
778240,0.014538836
782336,0.014529133
786432,0.01454277
790528,0.015263271
794624,0.015193701
798720,0.01587317
802816,0.015671587
806912,0.015207648
811008,0.015336251
815104,0.015052509
819200,0.015457582
823296,0.015425301
827392,0.015069771
831488,0.015040398
835584,0.01512475
839680,0.014878106
843776,0.014954305
847872,0.014846206
851968,0.014723635
856064,0.014820552
860160,0.014731741
864256,0.014856029
868352,0.014846516
872448,0.014733171
876544,0.01478672
880640,0.014742756
884736,0.014517379
888832,0.014961314
892928,0.014615726
897024,0.014558673
901120,0.014583826
905216,0.014531493
909312,0.014897108
913408,0.016283369
917504,0.016659975
921600,0.016595936
925696,0.016913748
929792,0.016718888
933888,0.015421724
937984,0.017320013
942080,0.016953063
946176,0.015916252
950272,0.015121651
954368,0.015964556
958464,0.015276623
962560,0.018624806
966656,0.015533042
970752,0.015378094
974848,0.017043257
978944,0.017574978
983040,0.016713738
987136,0.015055466
991232,0.015009809
995328,0.015193963
999424,0.015322876
1003520,0.015256572
1007616,0.015274477
1011712,0.014908099
1015808,0.014846492
1019904,0.014784598
1024000,0.014750719
1028096,0.015082669
1032192,0.014791274
1036288,0.01477294
1040384,0.014877892
1044480,0.014840794
1048576,0.014639473
1052672,0.015192413
1056768,0.015271091
1060864,0.015184188
1064960,0.01518333
